site,type,bipolar,max_length,max_width,max_thickness,mass
sehonghong,core,bipolar,10.92,5.3,4,0.38
sehonghong,core,bipolar,18.33,24.98,28.43,11.4
sehonghong,core,bipolar,24.53,21.84,8.13,5.17
sehonghong,core,bipolar,22.63,13.06,18.65,6.73
sehonghong,core,bipolar,15.85,6.72,4.85,0.43
sehonghong,core,bipolar,14.47,14.47,8.41,3.98
sehonghong,core,bipolar,10.2,3.89,1.99,0.1
sehonghong,core,bipolar,8.54,6.68,3.5,0.23
sehonghong,core,bipolar,9.88,6.85,6.4,0.48
sehonghong,core,bipolar,9.54,5.03,2.71,0.14
sehonghong,core,bipolar,10.55,5.97,4.18,0.21
sehonghong,core,bipolar,8.54,4.55,2.36,0.11
sehonghong,core,bipolar,8.23,6.81,2.67,0.18
sehonghong,core,bipolar,10.96,5.83,6.11,0.44
sehonghong,core,bipolar,11.21,8.77,5.52,0.52
sehonghong,flake,bipolar,13.38,9.26,4.39,0.5
sehonghong,core,bipolar,13.8,11.89,4.42,0.74
sehonghong,flake,bipolar,13.43,3.61,4.78,0.2
sehonghong,core,bipolar,13.61,6.83,4.47,0.42
sehonghong,core,bipolar,11.4,9.97,3.68,0.42
sehonghong,core,bipolar,16.77,5.6,6.73,0.5
sehonghong,flake,bipolar,7.3,4.94,2.22,0.07
sehonghong,core,bipolar,7.89,5.42,3.13,0.13
sehonghong,core,bipolar,12.21,5.35,2.63,0.19
sehonghong,core,freehand,24.2,21.32,22.42,16.49
sehonghong,core,bipolar,29.01,18.27,11.96,5.26
sehonghong,flake,bipolar,8.88,5.7,2.67,0.13
sehonghong,core,bipolar,13.24,5.04,3.47,0.32
sehonghong,core,freehand,17.62,25.6,33.47,16.71
sehonghong,core,freehand,19.46,22.91,31.68,15.33
sehonghong,core,bipolar,10.32,4.62,3.46,0.1
sehonghong,core,freehand,13.53,16.98,25.13,5.12
sehonghong,flake,bipolar,7.82,3.79,1.8,0.09
sehonghong,core,freehand,18.82,21.86,21.54,8.81
sehonghong,core,bipolar,8.47,8.39,14.68,0.69
sehonghong,flake,bipolar,8.53,6.44,2.26,0.16
sehonghong,core,freehand,20.41,12.06,17.81,6.35
sehonghong,flake,bipolar,8.39,4.15,2.5,0.11
sehonghong,core,freehand,40,22.74,16.96,19.49
sehonghong,core,freehand,42.41,24.58,14.31,15.89
sehonghong,flake,bipolar,6.77,5.59,1.04,0.06
sehonghong,core,freehand,33.8,20.92,14.68,9.42
sehonghong,core,freehand,23.89,15.6,13.79,5.23
sehonghong,core,freehand,18.02,9.28,29.54,4.61
sehonghong,core,freehand,18.02,12.66,16.3,3.29
sehonghong,core,freehand,19.68,15.78,24.3,6.33
sehonghong,flake,bipolar,4.41,3.43,1.55,0.01
sehonghong,core,freehand,18.04,21.41,12.82,4.96
sehonghong,flake,freehand,8.37,6.85,0.54,0.06
sehonghong,core,bipolar,27.27,19.46,6.3,4.47
sehonghong,core,bipolar,24.62,16.29,6.83,2.85
sehonghong,flake,freehand,8.39,5.32,2.22,0.08
sehonghong,flake,bipolar,11.5,4.34,2.16,0.13
sehonghong,flake,bipolar,5.6,7.81,3.3,0.14
sehonghong,flake,freehand,8.46,4.62,0.9,0.03
sehonghong,flake,freehand,9.69,5.8,1.85,0.11
sehonghong,flake,freehand,8.22,5.4,1.48,0.1
sehonghong,flake,freehand,6.06,7.59,1.5,0.05
sehonghong,flake,freehand,6.46,5.2,2.51,0.07
sehonghong,flake,freehand,5.57,2.22,0.79,0.01
sehonghong,flake,freehand,5.06,5.52,1.38,0.01
klipfonteinrand,flake,freehand,20.8,14.8,7.2,2.1
klipfonteinrand,flake,freehand,27.3,11.7,6.2,1.5
sehonghong,flake,freehand,8.77,7.35,1.16,0.07
klipfonteinrand,flake,freehand,34,25.3,10.6,9.8
sehonghong,flake,bipolar,9.25,7.83,2.65,0.19
sehonghong,core,freehand,37.22,33.43,18.86,22.34
klipfonteinrand,flake,freehand,23.8,16.9,6.1,2.3
sehonghong,core,freehand,24.66,26.62,16.47,14.43
sehonghong,core,freehand,27.45,18.73,17.58,6.84
klipfonteinrand,flake,freehand,58.6,23.2,13.6,17.5
sehonghong,flake,freehand,7.23,7.04,0.5,0.01
sehonghong,core,freehand,16.93,22.86,16.16,11.4
sehonghong,core,freehand,18.23,12.55,25.03,7.57
sehonghong,core,freehand,28.82,24.87,13.87,9.51
sehonghong,core,freehand,18.82,23.52,24.35,17.88
klipfonteinrand,core,freehand,27.4,18.4,13.2,7.9
sehonghong,core,freehand,37.35,21.19,16.35,17.67
klipfonteinrand,flake,freehand,17.6,10.1,7.5,1
sehonghong,flake,freehand,31.62,19.06,7.25,6.54
sehonghong,core,freehand,59.38,49.74,41.67,99.48
sehonghong,flake,bipolar,29.01,27.77,12.34,8.29
sehonghong,core,freehand,28.14,13.67,24.32,10.26
sehonghong,flake,freehand,21.82,29.34,9.38,3.95
sehonghong,core,freehand,23.73,18.61,10.68,4.92
sehonghong,core,freehand,48.21,23.68,27.06,32.1
sehonghong,flake,bipolar,27.62,16.48,14.6,2.58
sehonghong,core,freehand,18,36.21,30.13,20.96
sehonghong,flake,freehand,22.76,14.43,10.59,2.11
sehonghong,core,freehand,34.75,23.47,21.42,13.76
sehonghong,core,freehand,35.09,29.73,22.51,20.45
