"","series","ID","class","slope","climate","bearing_TN","Weight","Max.length","Max.width","Max.thick","near_dist_m"
"1",1,1014,"f","south",NA,NA,NA,NA,NA,NA,0.01
"2",1,1015,"f","south",NA,NA,NA,NA,NA,NA,0.02
"3",1,1016,"f","south",NA,NA,NA,NA,NA,NA,0.01
"4",1,1017,"f","south",NA,NA,NA,NA,NA,NA,0.03
"5",1,1018,"f","south",NA,NA,NA,NA,NA,NA,0.03
"6",1,1019,"f","south",NA,NA,NA,NA,NA,NA,0.02
"7",1,1020,"f","south",NA,NA,NA,NA,NA,NA,0.02
"8",1,1021,"f","south",NA,NA,NA,NA,NA,NA,0.01
"9",1,1022,"f","south",NA,NA,NA,NA,NA,NA,0.01
"10",1,1023,"f","south",NA,NA,NA,NA,NA,NA,0.03
"11",1,1024,"f","south",NA,NA,NA,NA,NA,NA,0.02
"12",1,1025,"f","south",NA,NA,NA,NA,NA,NA,0.02
"13",1,1026,"f","south",NA,NA,NA,NA,NA,NA,0.01
"14",1,1027,"f","south",NA,NA,NA,NA,NA,NA,0.01
"15",1,1028,"f","south",NA,NA,NA,NA,NA,NA,NA
"16",1,1029,"f","south",NA,NA,NA,NA,NA,NA,0.01
"17",1,1030,"f","south",NA,NA,NA,NA,NA,NA,0.02
"18",1,1034,"f","south",NA,NA,NA,NA,NA,NA,0.02
"19",1,1035,"f","south",NA,NA,NA,NA,NA,NA,0.01
"20",1,1036,"f","south",NA,NA,NA,NA,NA,NA,0.01
"21",1,1037,"f","south",NA,NA,NA,NA,NA,NA,NA
"22",1,1038,"f","south",NA,NA,NA,NA,NA,NA,0.01
"23",1,1039,"f","south",NA,NA,NA,NA,NA,NA,0.01
"24",1,1040,"f","south",NA,NA,NA,NA,NA,NA,NA
"25",1,1041,"f","south",NA,NA,NA,NA,NA,NA,NA
"26",1,1042,"f","south",NA,NA,NA,NA,NA,NA,NA
"27",1,1043,"f","south",NA,NA,NA,NA,NA,NA,NA
"28",1,1044,"f","south",NA,NA,NA,NA,NA,NA,NA
"29",1,1045,"f","south",NA,NA,NA,NA,NA,NA,NA
"30",1,1046,"f","south",NA,NA,NA,NA,NA,NA,0.02
"31",1,1047,"f","south",NA,NA,NA,NA,NA,NA,NA
"32",1,1048,"f","south",NA,NA,NA,NA,NA,NA,0.01
"33",1,1049,"f","south",NA,NA,NA,NA,NA,NA,0.02
"34",1,1050,"f","south",NA,NA,NA,NA,NA,NA,0.01
"35",1,1051,"f","south",NA,NA,NA,NA,NA,NA,0.02
"36",1,1052,"f","south",NA,NA,NA,NA,NA,NA,0.02
"37",1,1053,"f","south",NA,NA,NA,NA,NA,NA,0.01
"38",1,1054,"f","south",NA,NA,NA,NA,NA,NA,0.02
"39",1,1055,"f","south",NA,NA,NA,NA,NA,NA,0.01
"40",1,1056,"f","south",NA,NA,NA,NA,NA,NA,0.01
"41",1,1057,"f","south",NA,NA,NA,NA,NA,NA,0.02
"42",1,1058,"f","south",NA,NA,NA,NA,NA,NA,NA
"43",1,1059,"f","south",NA,NA,NA,NA,NA,NA,0.01
"44",1,1060,"f","south",NA,NA,NA,NA,NA,NA,0.02
"45",1,1061,"f","south",NA,NA,NA,NA,NA,NA,0.02
"46",1,1065,"f","south",NA,NA,NA,NA,NA,NA,0.01
"47",1,1066,"f","south",NA,NA,NA,NA,NA,NA,NA
"48",1,1067,"f","south",NA,NA,NA,NA,NA,NA,0.01
"49",1,1068,"f","south",NA,NA,NA,NA,NA,NA,0.01
"50",1,1069,"f","south",NA,NA,NA,NA,NA,NA,0.01
"51",1,1070,"f","south",NA,NA,NA,NA,NA,NA,0.01
"52",1,1071,"f","south",NA,NA,NA,NA,NA,NA,NA
"53",1,1072,"f","south",NA,NA,NA,NA,NA,NA,0.01
"54",1,1073,"f","south",NA,NA,NA,NA,NA,NA,0.01
"55",1,1074,"f","south",NA,NA,NA,NA,NA,NA,NA
"56",1,1075,"f","south",NA,NA,NA,NA,NA,NA,NA
"57",1,1076,"f","south",NA,NA,NA,NA,NA,NA,NA
"58",1,1077,"f","south",NA,NA,NA,NA,NA,NA,NA
"59",1,1078,"f","south",NA,NA,NA,NA,NA,NA,NA
"60",1,1079,"f","south",NA,NA,NA,NA,NA,NA,0.01
"61",1,1080,"f","south",NA,NA,NA,NA,NA,NA,NA
"62",1,1081,"f","south",NA,NA,NA,NA,NA,NA,0.01
"63",1,1082,"f","south",NA,NA,NA,NA,NA,NA,0.01
"64",1,1083,"f","south",NA,NA,NA,NA,NA,NA,NA
"65",1,1084,"f","south",NA,NA,NA,NA,NA,NA,NA
"66",1,1085,"f","south",NA,NA,NA,NA,NA,NA,NA
"67",1,1086,"f","south",NA,NA,NA,NA,NA,NA,0.01
"68",1,1087,"f","south",NA,NA,NA,NA,NA,NA,0.01
"69",1,1088,"f","south",NA,NA,NA,NA,NA,NA,NA
"70",1,1089,"f","south",NA,NA,NA,NA,NA,NA,NA
"71",1,1090,"f","south",NA,NA,NA,NA,NA,NA,0.01
"72",1,1091,"f","south",NA,NA,NA,NA,NA,NA,NA
"73",1,1092,"f","south",NA,NA,NA,NA,NA,NA,NA
"74",1,1096,"f","south",NA,NA,NA,NA,NA,NA,0.01
"75",1,1097,"f","south",NA,NA,NA,NA,NA,NA,NA
