ID,Series_ID,Class,Weight,Max.length,Max.width,Max.thick
1,1_0001,freehand core,14.6,31.95,25.35,22.56
2,1_0002,freehand core,12.1,35.27,32.42,11.66
3,1_0003,freehand core,16.5,33.04,27.82,22.87
5,1_0005,freehand core,16.8,33.04,31.06,16.06
6,1_0006,freehand core,10.2,26.55,26.46,15.17
7,1_0007,freehand core,19.2,37.33,27.78,18.9
8,1_0008,freehand core,7.5,23.46,19.09,15.88
9,1_0009,freehand core,14.6,34.87,21.34,20.84
10,1_0010,freehand core,8.2,32.9,19.74,14.63
11,1_0011,freehand core,11.1,33.06,26.99,15.05
12,1_0012,freehand core,6.5,28.01,21.27,14.71
13,1_0013,freehand core,10.8,29.74,23.04,17.39
14,1_0014,freehand core,6.1,25.6,21.76,12.65
15,1_0015,freehand core,5.8,26.54,22.86,13.74
16,1_0016,freehand core,3.8,18.61,18.01,13.61
17,1_0017,freehand core,13.6,35.67,31.59,17.25
18,1_0018,freehand core,22.1,35.42,30.39,20.46
19,1_0019,freehand core,14.8,31.83,25.98,22.32
20,1_0020,freehand core,14.2,28.25,24.76,19.16
21,1_0021,freehand core,8.8,34.66,27.33,13.39
22,1_0022,freehand core,15.8,31.52,25.49,18.72
23,1_0023,freehand core,7.9,25.62,20.29,16.36
24,1_0024,freehand core,7.5,25.82,22.7,13.53
25,1_0025,freehand core,9.2,26.48,18.89,18.25
26,1_0026,freehand core,7.6,30.48,20.44,16.31
27,1_0027,freehand core,21.2,32.26,30.58,23.27
28,1_0028,freehand core,12.6,32.62,24.98,21.98
29,1_0029,freehand core,23.6,34.33,26.78,23.48
30,1_0030,freehand core,16.2,40.02,30.23,14.42
31,1_0031,bipolar core,1.7,24.81,14.71,4.55
32,1_0032,bipolar core,1.9,17.35,11.86,8.46
33,1_0033,bipolar core,2.5,23.59,14.03,9.18
34,1_0034,bipolar core,1.2,20.76,15.66,5.31
35,1_0035,bipolar core,1.4,22.2,10.57,7.35
36,1_0036,bipolar core,1.1,17.26,13.03,4.18
37,1_0037,bipolar core,1.6,18.36,12.88,8.42
38,1_0038,bipolar core,0.8,16.24,9.07,6.39
39,1_0039,bipolar core,0.9,18.31,13.63,5.27
40,1_0040,bipolar core,1,18.29,9.33,6.27
41,1_0041,bipolar core,0.9,18.5,9.08,6.07
42,1_0042,bipolar core,1,15.05,9.8,7.79
43,1_0043,bipolar core,1,17.13,11.35,4.92
44,1_0044,bipolar core,0.5,17.58,10.18,3.44
45,1_0045,bipolar core,0.6,13.6,13.31,5.9
46,1_0046,bipolar core,0.7,16.69,10.1,5.54
47,1_0047,bipolar core,0.4,13.93,6.73,4.88
48,1_0048,bipolar core,1,13.97,9.64,7.39
49,1_0049,bipolar core,0.7,14.24,11.75,5.39
50,1_0050,bipolar core,0.8,14.89,8.99,6.05
51,1_0051,bipolar core,0.6,19.44,9.13,4.41
52,1_0052,bipolar core,0.6,14.32,10.17,7.33
53,1_0053,bipolar core,0.7,17.01,6.32,6.47
54,1_0054,bipolar core,0.5,18.35,8.43,4.37
55,1_0055,bipolar core,0.5,15.81,9.64,3.97
56,1_0056,bipolar core,0.4,11.82,10.27,4.05
57,1_0057,bipolar core,0.3,12.74,10.49,2.83
58,1_0058,bipolar core,0.3,16.31,7.86,3.41
